frame_id,source_sample_index,rx_id,label,baseline_value,actor_value,baseline_num_paths,actor_num_paths,baseline_delay_spread,actor_delay_spread,baseline_rx_power_dbm,actor_rx_power_dbm,baseline_delta_num_paths,actor_delta_num_paths,baseline_delta_delay_spread,actor_delta_delay_spread,baseline_delta_rx_power_db,actor_delta_rx_power_db
1,257,rx_ur5_base,y_path_drop,0,1,19,15,5.3594881865848265e-08,5.3594881865848265e-08,-31.621409167313168,-31.626861813368485,0,-4,0.0,0.0,0.0,-0.0054526460553177
100,25698,rx_x500_body,y_path_drop,0,1,23,22,5.742073128089942e-08,5.742073128089942e-08,-44.720622971607156,-44.721895053922594,0,-1,0.0,0.0,0.0,-0.0012711672822263154
103,26469,rx_human_chest,y_path_drop,0,1,23,23,5.952561688005176e-08,5.952561688005176e-08,-36.48995112633139,-36.48995140137379,0,-1,0.0,0.0,0.0,-1.072664041146254e-05
109,28011,rx_x500_body,y_path_drop,0,1,23,22,5.742073128089942e-08,5.742073128089942e-08,-44.720622971607156,-44.721895053922594,0,-1,0.0,0.0,9.150332118679216e-07,-0.0012716247988464602
110,28268,rx_x500_body,y_path_drop,1,0,22,22,5.742073128089942e-08,5.742073128089942e-08,-44.72189459627204,-44.721895969223866,-1,0,0.0,0.0,-0.0012716246648807328,-9.153012712204145e-07
111,28525,rx_nao_chest,y_path_drop,0,1,24,23,5.130942337672195e-08,5.130942337672195e-08,-41.397070238498515,-41.39991938655777,0,-1,0.0,0.0,-4.2567830860207323e-07,-0.002849148059254958
113,29039,rx_nao_chest,y_path_drop,0,1,24,19,5.130942337672195e-08,5.130942337672195e-08,-41.397070238498515,-41.415311349428634,0,-4,0.0,0.0,-4.2567830860207323e-07,-0.015392388828516346
113,29039,rx_x500_body,y_path_drop,0,1,23,22,5.742073128089942e-08,5.742073128089942e-08,-44.720622971607156,-44.72189459627204,0,-1,0.0,0.0,4.575165917231061e-07,-0.0012716246648807328
114,29296,rx_nao_chest,y_path_drop,0,1,24,16,5.130942337672195e-08,4.0688618696549383e-08,-41.397070238498515,-56.15149817467206,0,-3,0.0,-1.0620804680172569e-08,0.0,-14.736186825243422
115,29553,rx_cerberus_base,y_path_drop,0,1,18,17,4.148822796423701e-08,3.903675604988166e-08,-44.411208955631295,-44.416161256205854,0,-1,0.0,-2.451471914355352e-09,8.521095935520862e-07,-0.004951874519775856
116,29810,rx_nao_chest,y_path_drop,0,1,24,23,5.130942337672195e-08,5.130942337672195e-08,-41.397070238498515,-41.39990277423999,0,-1,0.0,0.0,-8.513565603607276e-07,-0.0028325357414757946
117,30067,rx_panda_base,y_path_drop,0,1,28,26,5.526913593456584e-08,5.526913593456584e-08,-47.396503878656716,-47.409493336996775,0,-1,0.0,0.0,4.2360876761904365e-07,-0.004499671447902642
122,31352,rx_nao_chest,y_path_drop,0,1,23,21,5.130942337672195e-08,5.130942337672195e-08,-41.39998115086068,-41.4269206939496,0,-2,0.0,0.0,0.00483226422996097,-0.022107705296889435
124,31866,rx_x500_body,y_path_drop,0,1,23,22,5.742073128089942e-08,5.742073128089942e-08,-44.72062342912375,-44.79447796420398,0,-1,0.0,0.0,0.0,-0.07385499259682149
130,33408,rx_nao_chest,y_path_drop,0,1,24,21,5.130942337672195e-08,5.130942337672195e-08,-41.397069812820206,-41.42449498635267,0,-1,0.0,0.0,0.0,-0.0005041679892912043
130,33408,rx_x500_body,y_path_drop,0,1,23,22,5.742073128089942e-08,5.742073128089942e-08,-44.72062388664037,-44.79447796420398,0,-1,0.0,0.0,0.0,-0.07385499259682149
138,35464,rx_x500_body,y_path_drop,0,1,23,22,5.742073128089942e-08,5.742073128089942e-08,-44.72062342912375,-44.72533199650195,0,-1,0.0,0.0,0.0,-0.004708567378202133
139,35721,rx_x500_body,y_path_drop,0,1,23,21,5.742073128089942e-08,5.742073128089942e-08,-44.72062388664037,-44.79641384239186,0,-1,0.0,0.0,-4.5751662014481553e-07,-0.07108184588990696
147,37777,rx_nao_chest,y_path_drop,0,1,24,23,5.130942337672195e-08,5.130942337672195e-08,-41.397069812820206,-41.399903200196064,0,-1,0.0,0.0,-4.2567825175865437e-07,-0.002832961697549763
149,38291,rx_nao_chest,y_path_drop,0,1,24,23,5.130942337672195e-08,5.130942337672195e-08,-41.397069812820206,-41.399903200196064,0,-1,0.0,0.0,4.2567830860207323e-07,-0.0010294138659929786
152,39062,rx_cerberus_base,y_path_drop,0,1,18,17,4.148822796423701e-08,4.148822796423701e-08,-44.411208955631295,-44.41339474041706,0,-1,0.0,0.0,4.2605478256518836e-07,-0.0021853587309834666
155,39833,rx_x500_body,y_path_drop,0,1,23,22,5.742073128089942e-08,5.742073128089942e-08,-44.720622971607156,-44.72182366101765,0,-1,0.0,0.0,9.150332118679216e-07,-0.00120068941049567
158,40604,rx_panda_base,y_path_drop,0,1,24,23,5.749156439804892e-08,5.749156439804892e-08,-35.464666892517315,-35.46554188517912,0,-1,0.0,0.0,-4.344113619936252e-07,-0.0008749926618065729
16,4112,rx_cerberus_base,y_path_drop,0,1,18,18,4.148822796423701e-08,4.148822796423701e-08,-44.41120938168608,-44.41120938168608,0,-1,0.0,0.0,0.0,-0.002353315031896841
165,42403,rx_ur5_base,y_path_drop,0,1,18,18,5.3594881865848265e-08,5.3594881865848265e-08,-31.62340377753609,-31.62340341877539,0,-1,0.0,0.0,0.0,-0.00012951067602529065
177,45486,rx_ur5_base,y_path_drop,0,1,18,17,5.3594881865848265e-08,5.3594881865848265e-08,-31.62340377753609,-31.62358029139449,0,-1,0.0,0.0,-3.587607011468208e-07,-0.00017687261910026564
177,45486,rx_x500_body,y_path_drop,0,1,23,22,5.742073128089942e-08,5.742073128089942e-08,-44.72062342912375,-44.72182320337461,0,-1,0.0,0.0,0.0,-0.0012002317674557617
180,46257,rx_x500_body,y_path_drop,0,1,23,23,5.742073128089942e-08,5.742073128089942e-08,-44.72062342912375,-44.720622971607156,0,-1,0.0,0.0,4.5751662014481553e-07,-0.06730803665664098
182,46771,rx_x500_body,y_path_drop,0,1,23,22,5.742073128089942e-08,5.742073128089942e-08,-44.720622971607156,-44.72182366101765,0,-1,0.0,0.0,4.575165917231061e-07,-0.001200231893903947
184,47285,rx_human_chest,y_path_drop,0,1,21,20,5.8150951165458764e-08,5.8150951165458764e-08,-36.49714283492739,-36.497147518399615,0,-1,0.0,0.0,-2.754982233454939e-07,-5.234468645198831e-06
199,51140,rx_cerberus_base,y_path_drop,0,1,18,18,4.148822796423701e-08,4.148822796423701e-08,-44.41120938168608,-44.411208955631295,0,-1,0.0,0.0,-4.2605478256518836e-07,-0.0037072238980329075
30,7710,rx_cerberus_base,y_path_drop,0,1,18,17,4.148822796423701e-08,4.148822796423701e-08,-44.411208955631295,-44.41809007571236,0,-1,0.0,0.0,4.2605478256518836e-07,-0.006881120081061454
34,8737,rx_panda_base,y_path_drop,0,1,31,30,5.749156439804892e-08,5.749156439804892e-08,-35.22231143794808,-35.22278720898235,0,-1,0.0,0.0,0.0,-0.00047536020095151343
35,8994,rx_cerberus_base,y_path_drop,0,1,18,17,4.148822796423701e-08,4.148822796423701e-08,-44.411208955631295,-44.41339474041706,0,-1,0.0,0.0,4.2605478256518836e-07,-0.0021849326761724797
47,12078,rx_nao_chest,y_path_drop,0,1,24,24,5.130942337672195e-08,5.130942337672195e-08,-41.397070238498515,-41.397070238498515,0,-1,0.0,0.0,0.0,-0.0034423730301398336
49,12592,rx_cerberus_base,y_path_drop,0,1,18,16,4.148822796423701e-08,4.148822796423701e-08,-44.411208955631295,-44.41977598776519,0,-1,0.0,0.0,4.2605478256518836e-07,-0.006381247348130614
50,12849,rx_nao_chest,y_path_drop,0,1,24,23,5.130942337672195e-08,5.130942337672195e-08,-41.397069812820206,-41.39991938655777,0,-1,0.0,0.0,0.0,-0.002849148059254958
52,13363,rx_cerberus_base,y_path_drop,0,1,18,14,4.148822796423701e-08,4.007502063529955e-08,-44.411208955631295,-55.23909801882144,0,-2,0.0,0.0,0.0,-0.01524355067355998
54,13877,rx_ur5_base,y_path_drop,0,1,30,29,5.8000129588009486e-08,5.8000129588009486e-08,-29.646175414714747,-29.64618770257936,0,-1,0.0,0.0,-0.11422609138897144,-0.11423837925358526
58,14905,rx_cerberus_base,y_path_drop,0,1,18,15,4.148822796423701e-08,3.480371546515926e-08,-44.411208955631295,-44.418570600663855,0,-2,0.0,-4.233040584722403e-09,4.2605478256518836e-07,-0.0024089179171085107
59,15162,rx_panda_base,y_path_drop,0,1,29,28,5.749156439804892e-08,5.749156439804892e-08,-35.46322358335199,-35.46323270296932,0,-1,0.0,0.0,8.685341583714035e-07,-8.25108317314971e-06
62,15933,rx_panda_base,y_path_drop,0,1,32,28,5.846988937463493e-08,5.846988937463493e-08,-35.45757093546091,-35.46368566806032,2,-1,9.783249765860091e-10,9.783249765860091e-10,0.0036993198355474988,-0.0024075994651724386
62,15933,rx_ur5_base,y_path_drop,0,1,26,25,5.8000129588009486e-08,5.8000129588009486e-08,-29.95183606143584,-29.951991340529617,0,-1,0.0,0.0,0.0,-0.00015527909377510696
73,18760,rx_panda_base,y_path_drop,0,1,25,22,5.749156439804892e-08,5.749156439804892e-08,-35.46472162869638,-35.47036010840819,0,-3,0.0,0.0,4.344168758052547e-07,-0.005638479711805644
74,19017,rx_nao_chest,y_path_drop,0,1,24,23,5.130942337672195e-08,5.04312707150234e-08,-41.397070238498515,-41.39744102014865,0,-1,0.0,-8.781526616985502e-10,0.0,-0.0003712073284418693
78,20045,rx_nao_chest,y_path_drop,0,1,23,21,5.130942337672195e-08,5.130942337672195e-08,-41.39998157682443,-41.425175298972164,1,-1,0.0,0.0,0.007748373686254695,-0.017445348461478716
78,20045,rx_x500_body,y_path_drop,0,1,23,22,5.742073128089942e-08,5.742073128089942e-08,-44.72062342912375,-44.72189551157321,0,-1,0.0,0.0,-4.575165917231061e-07,-0.001272082449460754
79,20302,rx_nao_chest,y_path_drop,0,1,23,20,5.130942337672195e-08,5.130942337672195e-08,-41.39998115086068,-41.42571902591425,0,-1,0.0,0.0,4.259637478298828e-07,-0.000543726942083822
82,21073,rx_nao_chest,y_path_drop,0,1,24,20,5.130942337672195e-08,5.04312707150234e-08,-41.397070238498515,-41.4231633729631,0,-1,0.0,0.0,-4.2567830860207323e-07,-0.023503812818091774
