rx_id,label,baseline_positives,actor_positives,actor_new_positive,actor_lost_positive,rows_changed
rx_cerberus_base,y_path_change,4,22,18,0,18
rx_human_chest,y_path_change,17,21,4,0,4
rx_nao_chest,y_path_change,43,72,30,1,31
rx_panda_base,y_path_change,75,89,15,1,16
rx_ur5_base,y_path_change,66,78,12,0,12
rx_x500_body,y_path_change,8,32,25,1,26
rx_cerberus_base,y_path_drop,2,11,9,0,9
rx_human_chest,y_path_drop,7,9,2,0,2
rx_nao_chest,y_path_drop,21,35,15,1,16
rx_panda_base,y_path_drop,38,44,6,0,6
rx_ur5_base,y_path_drop,30,35,5,0,5
rx_x500_body,y_path_drop,4,16,13,1,14
rx_cerberus_base,y_rx_power_drop_0p5db,0,1,1,0,1
rx_human_chest,y_rx_power_drop_0p5db,1,1,0,0,0
rx_nao_chest,y_rx_power_drop_0p5db,0,1,1,0,1
rx_panda_base,y_rx_power_drop_0p5db,5,5,0,0,0
rx_ur5_base,y_rx_power_drop_0p5db,19,19,0,0,0
rx_x500_body,y_rx_power_drop_0p5db,0,0,0,0,0
rx_cerberus_base,y_rx_power_drop_1db,0,1,1,0,1
rx_human_chest,y_rx_power_drop_1db,0,0,0,0,0
rx_nao_chest,y_rx_power_drop_1db,0,1,1,0,1
rx_panda_base,y_rx_power_drop_1db,5,5,0,0,0
rx_ur5_base,y_rx_power_drop_1db,18,18,0,0,0
rx_x500_body,y_rx_power_drop_1db,0,0,0,0,0
rx_cerberus_base,y_rx_power_drop_2db,0,1,1,0,1
rx_human_chest,y_rx_power_drop_2db,0,0,0,0,0
rx_nao_chest,y_rx_power_drop_2db,0,1,1,0,1
rx_panda_base,y_rx_power_drop_2db,4,4,0,0,0
rx_ur5_base,y_rx_power_drop_2db,11,11,0,0,0
rx_x500_body,y_rx_power_drop_2db,0,0,0,0,0
rx_cerberus_base,y_delay_spread_increase,2,4,2,0,2
rx_human_chest,y_delay_spread_increase,0,0,0,0,0
rx_nao_chest,y_delay_spread_increase,1,2,1,0,1
rx_panda_base,y_delay_spread_increase,9,10,1,0,1
rx_ur5_base,y_delay_spread_increase,13,13,0,0,0
rx_x500_body,y_delay_spread_increase,0,0,0,0,0
rx_cerberus_base,y_adaptation_trigger_1db,2,5,3,0,3
rx_human_chest,y_adaptation_trigger_1db,0,0,0,0,0
rx_nao_chest,y_adaptation_trigger_1db,1,3,2,0,2
rx_panda_base,y_adaptation_trigger_1db,12,13,1,0,1
rx_ur5_base,y_adaptation_trigger_1db,31,31,0,0,0
rx_x500_body,y_adaptation_trigger_1db,0,0,0,0,0
rx_cerberus_base,y_adaptation_trigger_2db,2,5,3,0,3
rx_human_chest,y_adaptation_trigger_2db,0,0,0,0,0
rx_nao_chest,y_adaptation_trigger_2db,1,3,2,0,2
rx_panda_base,y_adaptation_trigger_2db,11,12,1,0,1
rx_ur5_base,y_adaptation_trigger_2db,24,24,0,0,0
rx_x500_body,y_adaptation_trigger_2db,0,0,0,0,0
