mode,camera_id,stream_type,topic,message_index,width,height,pixel_format_type,data_size,bytes_per_pixel,saved_rgb_path,saved_depth_path,depth_storage_type,depth_storage_byte_order,metadata_path
rgbd,cam_corner_ne,depth,/perception/native/rgbd/cam_corner_ne/depth,0,640,480,R_FLOAT32,1228800,4,,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_ne/depth/000000.bin,raw_bytes,little,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_ne/metadata/depth_000000.json
rgbd,cam_corner_ne,depth,/perception/native/rgbd/cam_corner_ne/depth,1,640,480,R_FLOAT32,1228800,4,,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_ne/depth/000001.bin,raw_bytes,little,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_ne/metadata/depth_000001.json
rgbd,cam_corner_ne,depth,/perception/native/rgbd/cam_corner_ne/depth,2,640,480,R_FLOAT32,1228800,4,,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_ne/depth/000002.bin,raw_bytes,little,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_ne/metadata/depth_000002.json
rgbd,cam_corner_ne,rgb,/perception/native/rgbd/cam_corner_ne/rgb,0,640,480,RGB_INT8,921600,3,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_ne/rgb/000000.ppm,,,,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_ne/metadata/rgb_000000.json
rgbd,cam_corner_ne,rgb,/perception/native/rgbd/cam_corner_ne/rgb,1,640,480,RGB_INT8,921600,3,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_ne/rgb/000001.ppm,,,,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_ne/metadata/rgb_000001.json
rgbd,cam_corner_ne,rgb,/perception/native/rgbd/cam_corner_ne/rgb,2,640,480,RGB_INT8,921600,3,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_ne/rgb/000002.ppm,,,,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_ne/metadata/rgb_000002.json
rgbd,cam_corner_nw,depth,/perception/native/rgbd/cam_corner_nw/depth,0,640,480,R_FLOAT32,1228800,4,,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_nw/depth/000000.bin,raw_bytes,little,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_nw/metadata/depth_000000.json
rgbd,cam_corner_nw,depth,/perception/native/rgbd/cam_corner_nw/depth,1,640,480,R_FLOAT32,1228800,4,,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_nw/depth/000001.bin,raw_bytes,little,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_nw/metadata/depth_000001.json
rgbd,cam_corner_nw,depth,/perception/native/rgbd/cam_corner_nw/depth,2,640,480,R_FLOAT32,1228800,4,,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_nw/depth/000002.bin,raw_bytes,little,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_nw/metadata/depth_000002.json
rgbd,cam_corner_nw,rgb,/perception/native/rgbd/cam_corner_nw/rgb,0,640,480,RGB_INT8,921600,3,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_nw/rgb/000000.ppm,,,,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_nw/metadata/rgb_000000.json
rgbd,cam_corner_nw,rgb,/perception/native/rgbd/cam_corner_nw/rgb,1,640,480,RGB_INT8,921600,3,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_nw/rgb/000001.ppm,,,,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_nw/metadata/rgb_000001.json
rgbd,cam_corner_nw,rgb,/perception/native/rgbd/cam_corner_nw/rgb,2,640,480,RGB_INT8,921600,3,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_nw/rgb/000002.ppm,,,,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_nw/metadata/rgb_000002.json
rgbd,cam_corner_se,depth,/perception/native/rgbd/cam_corner_se/depth,0,640,480,R_FLOAT32,1228800,4,,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_se/depth/000000.bin,raw_bytes,little,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_se/metadata/depth_000000.json
rgbd,cam_corner_se,depth,/perception/native/rgbd/cam_corner_se/depth,1,640,480,R_FLOAT32,1228800,4,,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_se/depth/000001.bin,raw_bytes,little,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_se/metadata/depth_000001.json
rgbd,cam_corner_se,depth,/perception/native/rgbd/cam_corner_se/depth,2,640,480,R_FLOAT32,1228800,4,,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_se/depth/000002.bin,raw_bytes,little,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_se/metadata/depth_000002.json
rgbd,cam_corner_se,rgb,/perception/native/rgbd/cam_corner_se/rgb,0,640,480,RGB_INT8,921600,3,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_se/rgb/000000.ppm,,,,rt_out/experiments/perception_rt_small_v0/perception_raw/native/rgbd/cam_corner_se/metadata/rgb_000000.json
