frame_id,source_sample_index,rx_id,xml_path,tx_power_dbm,tx_x,tx_y,tx_z,rx_x,rx_y,rx_z,frequency_hz,num_paths,tau_min,tau_max,delay_spread,path_gain_sum,path_gain_db,rx_power_dbm,gain_method,gain_error,a_shape,tau_cir_shape,valid_shape,tau_shape,gain_debug,sanity_ok,error_message,prev_num_paths,prev_delay_spread,prev_rx_power_dbm,delta_num_paths,delta_delay_spread,delta_rx_power_db,y_path_change,y_path_drop,y_rx_power_drop_0p5db,y_rx_power_drop_1db,y_rx_power_drop_2db,y_delay_spread_increase,y_adaptation_trigger_1db,y_adaptation_trigger_2db,raw_tx_rx_distance,raw_vertex_count_near_link_0p25m,raw_vertex_count_near_link_0p50m,raw_vertex_count_near_link_1p00m,raw_min_vertex_dist_to_link,raw_mean_vertex_dist_to_link_k20,raw_mean_vertex_dist_to_link_k50,raw_vertex_count_near_rx_0p50m,raw_vertex_count_near_tx_0p50m,raw_link_corridor_occupancy_ratio_0p50m
1,257,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_001_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,17,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.615688370928183e-08,-74.41809007571236,-44.41809007571236,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 17, 1]","[1, 1, 17]","[1, 1, 17]","[1, 1, 17]",,True,,17,4.148822796423701e-08,-44.41809007571236,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,437,2945,5983,0.1319074983622544,0.17786438181026368,0.18946908707522303,2643,0,0.14725
2,514,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_002_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,17,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.615688015656815e-08,-74.41809050244272,-44.41809050244272,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 17, 1]","[1, 1, 17]","[1, 1, 17]","[1, 1, 17]",,True,,17,4.148822796423701e-08,-44.41809007571236,0,0.0,-4.2673036659834906e-07,0,0,0,0,0,0,0,0,4.721272815671638,432,3048,5968,0.1315489734795868,0.1880934877214039,0.19488343307756623,2719,0,0.1524
3,771,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_003_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,17,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.615688370928183e-08,-74.41809007571236,-44.41809007571236,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 17, 1]","[1, 1, 17]","[1, 1, 17]","[1, 1, 17]",,True,,17,4.148822796423701e-08,-44.41809050244272,0,0.0,4.2673036659834906e-07,0,0,0,0,0,0,0,0,4.721272815671638,379,2975,5754,0.1407047329989496,0.18916036093033226,0.193881915358039,2724,0,0.14875
4,1028,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_004_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,17,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.615688015656815e-08,-74.41809050244272,-44.41809050244272,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 17, 1]","[1, 1, 17]","[1, 1, 17]","[1, 1, 17]",,True,,17,4.148822796423701e-08,-44.41809007571236,0,0.0,-4.2673036659834906e-07,0,0,0,0,0,0,0,0,4.721272815671638,410,2922,5563,0.13144395597453848,0.18593919959837432,0.1922768077057648,2632,0,0.1461
5,1285,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_005_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,17,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.615688370928183e-08,-74.41809007571236,-44.41809007571236,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 17, 1]","[1, 1, 17]","[1, 1, 17]","[1, 1, 17]",,True,,17,4.148822796423701e-08,-44.41809050244272,0,0.0,4.2673036659834906e-07,0,0,0,0,0,0,0,0,4.721272815671638,403,2709,5485,0.14043092578542352,0.18652576896307793,0.19300975859473238,2591,0,0.13545
6,1542,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_006_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,17,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.615688015656815e-08,-74.41809050244272,-44.41809050244272,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 17, 1]","[1, 1, 17]","[1, 1, 17]","[1, 1, 17]",,True,,17,4.148822796423701e-08,-44.41809007571236,0,0.0,-4.2673036659834906e-07,0,0,0,0,0,0,0,0,4.721272815671638,458,2733,5726,0.13179820116264332,0.18164842839484793,0.19089509462093907,2636,0,0.13665
7,1799,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_007_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,17,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.615688015656815e-08,-74.41809050244272,-44.41809050244272,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 17, 1]","[1, 1, 17]","[1, 1, 17]","[1, 1, 17]",,True,,17,4.148822796423701e-08,-44.41809050244272,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,427,2836,5904,0.13300034556577098,0.18938669171176503,0.19479369133432795,2736,0,0.1418
8,2056,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_008_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,17,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.615688015656815e-08,-74.41809050244272,-44.41809050244272,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 17, 1]","[1, 1, 17]","[1, 1, 17]","[1, 1, 17]",,True,,17,4.148822796423701e-08,-44.41809050244272,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,417,2628,5902,0.18828841243305314,0.19223991191757345,0.19579086340435642,2616,0,0.1314
9,2313,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_009_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,17,4.148822796423701e-08,-44.41809050244272,1,0.0,0.006881120756645487,1,0,0,0,0,0,0,0,4.721272815671638,410,2709,5966,0.13228210800744705,0.1863829551413397,0.1929650012394878,2694,0,0.13545
10,2570,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_actor_200f/sionna_xml/frame_010_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,,18,4.148822796423701e-08,-44.41120938168608,0,0.0,0.0,0,0,0,0,0,0,0,0,4.721272815671638,401,2598,5539,0.13255132313524756,0.1853072962307534,0.19234375061597173,2586,0,0.1299
