label,rx_id,num_rows,num_positive,positive_ratio
y_path_change,ALL,1194,314,0.2629815745393635
y_path_drop,ALL,1194,150,0.12562814070351758
y_rx_power_drop_0p5db,ALL,1194,27,0.022613065326633167
y_rx_power_drop_1db,ALL,1194,25,0.020938023450586266
y_rx_power_drop_2db,ALL,1194,17,0.01423785594639866
y_delay_spread_increase,ALL,1194,29,0.024288107202680067
y_adaptation_trigger_1db,ALL,1194,52,0.04355108877721943
y_adaptation_trigger_2db,ALL,1194,44,0.03685092127303183
y_path_change,rx_cerberus_base,199,22,0.11055276381909548
y_path_drop,rx_cerberus_base,199,11,0.05527638190954774
y_rx_power_drop_0p5db,rx_cerberus_base,199,1,0.005025125628140704
y_rx_power_drop_1db,rx_cerberus_base,199,1,0.005025125628140704
y_rx_power_drop_2db,rx_cerberus_base,199,1,0.005025125628140704
y_delay_spread_increase,rx_cerberus_base,199,4,0.020100502512562814
y_adaptation_trigger_1db,rx_cerberus_base,199,5,0.02512562814070352
y_adaptation_trigger_2db,rx_cerberus_base,199,5,0.02512562814070352
y_path_change,rx_human_chest,199,21,0.10552763819095477
y_path_drop,rx_human_chest,199,9,0.04522613065326633
y_rx_power_drop_0p5db,rx_human_chest,199,1,0.005025125628140704
y_rx_power_drop_1db,rx_human_chest,199,0,0.0
y_rx_power_drop_2db,rx_human_chest,199,0,0.0
y_delay_spread_increase,rx_human_chest,199,0,0.0
y_adaptation_trigger_1db,rx_human_chest,199,0,0.0
y_adaptation_trigger_2db,rx_human_chest,199,0,0.0
y_path_change,rx_nao_chest,199,72,0.36180904522613067
y_path_drop,rx_nao_chest,199,35,0.17587939698492464
y_rx_power_drop_0p5db,rx_nao_chest,199,1,0.005025125628140704
y_rx_power_drop_1db,rx_nao_chest,199,1,0.005025125628140704
y_rx_power_drop_2db,rx_nao_chest,199,1,0.005025125628140704
y_delay_spread_increase,rx_nao_chest,199,2,0.010050251256281407
y_adaptation_trigger_1db,rx_nao_chest,199,3,0.01507537688442211
y_adaptation_trigger_2db,rx_nao_chest,199,3,0.01507537688442211
y_path_change,rx_panda_base,199,89,0.4472361809045226
y_path_drop,rx_panda_base,199,44,0.22110552763819097
y_rx_power_drop_0p5db,rx_panda_base,199,5,0.02512562814070352
y_rx_power_drop_1db,rx_panda_base,199,5,0.02512562814070352
y_rx_power_drop_2db,rx_panda_base,199,4,0.020100502512562814
y_delay_spread_increase,rx_panda_base,199,10,0.05025125628140704
y_adaptation_trigger_1db,rx_panda_base,199,13,0.06532663316582915
y_adaptation_trigger_2db,rx_panda_base,199,12,0.06030150753768844
y_path_change,rx_ur5_base,199,78,0.39195979899497485
y_path_drop,rx_ur5_base,199,35,0.17587939698492464
y_rx_power_drop_0p5db,rx_ur5_base,199,19,0.09547738693467336
y_rx_power_drop_1db,rx_ur5_base,199,18,0.09045226130653267
y_rx_power_drop_2db,rx_ur5_base,199,11,0.05527638190954774
y_delay_spread_increase,rx_ur5_base,199,13,0.06532663316582915
y_adaptation_trigger_1db,rx_ur5_base,199,31,0.15577889447236182
y_adaptation_trigger_2db,rx_ur5_base,199,24,0.12060301507537688
y_path_change,rx_x500_body,199,32,0.16080402010050251
y_path_drop,rx_x500_body,199,16,0.08040201005025126
y_rx_power_drop_0p5db,rx_x500_body,199,0,0.0
y_rx_power_drop_1db,rx_x500_body,199,0,0.0
y_rx_power_drop_2db,rx_x500_body,199,0,0.0
y_delay_spread_increase,rx_x500_body,199,0,0.0
y_adaptation_trigger_1db,rx_x500_body,199,0,0.0
y_adaptation_trigger_2db,rx_x500_body,199,0,0.0
