label,rx_id,num_rows,num_positive,positive_ratio
y_path_change,ALL,1194,213,0.17839195979899497
y_path_drop,ALL,1194,102,0.08542713567839195
y_rx_power_drop_0p5db,ALL,1194,25,0.020938023450586266
y_rx_power_drop_1db,ALL,1194,23,0.019262981574539362
y_rx_power_drop_2db,ALL,1194,15,0.01256281407035176
y_delay_spread_increase,ALL,1194,25,0.020938023450586266
y_adaptation_trigger_1db,ALL,1194,46,0.038525963149078725
y_adaptation_trigger_2db,ALL,1194,38,0.031825795644891124
y_path_change,rx_cerberus_base,199,4,0.020100502512562814
y_path_drop,rx_cerberus_base,199,2,0.010050251256281407
y_rx_power_drop_0p5db,rx_cerberus_base,199,0,0.0
y_rx_power_drop_1db,rx_cerberus_base,199,0,0.0
y_rx_power_drop_2db,rx_cerberus_base,199,0,0.0
y_delay_spread_increase,rx_cerberus_base,199,2,0.010050251256281407
y_adaptation_trigger_1db,rx_cerberus_base,199,2,0.010050251256281407
y_adaptation_trigger_2db,rx_cerberus_base,199,2,0.010050251256281407
y_path_change,rx_human_chest,199,17,0.08542713567839195
y_path_drop,rx_human_chest,199,7,0.035175879396984924
y_rx_power_drop_0p5db,rx_human_chest,199,1,0.005025125628140704
y_rx_power_drop_1db,rx_human_chest,199,0,0.0
y_rx_power_drop_2db,rx_human_chest,199,0,0.0
y_delay_spread_increase,rx_human_chest,199,0,0.0
y_adaptation_trigger_1db,rx_human_chest,199,0,0.0
y_adaptation_trigger_2db,rx_human_chest,199,0,0.0
y_path_change,rx_nao_chest,199,43,0.21608040201005024
y_path_drop,rx_nao_chest,199,21,0.10552763819095477
y_rx_power_drop_0p5db,rx_nao_chest,199,0,0.0
y_rx_power_drop_1db,rx_nao_chest,199,0,0.0
y_rx_power_drop_2db,rx_nao_chest,199,0,0.0
y_delay_spread_increase,rx_nao_chest,199,1,0.005025125628140704
y_adaptation_trigger_1db,rx_nao_chest,199,1,0.005025125628140704
y_adaptation_trigger_2db,rx_nao_chest,199,1,0.005025125628140704
y_path_change,rx_panda_base,199,75,0.3768844221105528
y_path_drop,rx_panda_base,199,38,0.19095477386934673
y_rx_power_drop_0p5db,rx_panda_base,199,5,0.02512562814070352
y_rx_power_drop_1db,rx_panda_base,199,5,0.02512562814070352
y_rx_power_drop_2db,rx_panda_base,199,4,0.020100502512562814
y_delay_spread_increase,rx_panda_base,199,9,0.04522613065326633
y_adaptation_trigger_1db,rx_panda_base,199,12,0.06030150753768844
y_adaptation_trigger_2db,rx_panda_base,199,11,0.05527638190954774
y_path_change,rx_ur5_base,199,66,0.3316582914572864
y_path_drop,rx_ur5_base,199,30,0.1507537688442211
y_rx_power_drop_0p5db,rx_ur5_base,199,19,0.09547738693467336
y_rx_power_drop_1db,rx_ur5_base,199,18,0.09045226130653267
y_rx_power_drop_2db,rx_ur5_base,199,11,0.05527638190954774
y_delay_spread_increase,rx_ur5_base,199,13,0.06532663316582915
y_adaptation_trigger_1db,rx_ur5_base,199,31,0.15577889447236182
y_adaptation_trigger_2db,rx_ur5_base,199,24,0.12060301507537688
y_path_change,rx_x500_body,199,8,0.04020100502512563
y_path_drop,rx_x500_body,199,4,0.020100502512562814
y_rx_power_drop_0p5db,rx_x500_body,199,0,0.0
y_rx_power_drop_1db,rx_x500_body,199,0,0.0
y_rx_power_drop_2db,rx_x500_body,199,0,0.0
y_delay_spread_increase,rx_x500_body,199,0,0.0
y_adaptation_trigger_1db,rx_x500_body,199,0,0.0
y_adaptation_trigger_2db,rx_x500_body,199,0,0.0
